WALL(K),WINDOWS(K),SHGC,INFILTRATION,Cooling load,Heeting load,Total load
0.3,2,0.45,1,76.261957,9.327227,85.589184
0.4,2,0.45,1,76.412633,9.999245,86.411878
0.5,2,0.45,1,76.582816,10.61735,87.200166
0.6,2,0.45,1,76.759772,11.190962,87.950734
0.7,2,0.45,1,76.942444,11.726055,88.668499
0.8,2,0.45,1,77.13267,12.227255,89.359925
0.3,1.5,0.45,1,75.478291,8.518502,83.996793
0.4,1.5,0.45,1,75.616835,9.200549,84.817384
0.5,1.5,0.45,1,75.777265,9.829214,85.606479
0.6,1.5,0.45,1,75.946152,10.412295,86.358447
0.7,1.5,0.45,1,76.11853,10.95487,87.0734
0.8,1.5,0.45,1,76.297839,11.463499,87.761338
0.3,2.5,0.5,1,80.026499,9.847885,89.874384
0.4,2.5,0.5,1,80.1247,10.509654,90.634354
0.5,2.5,0.5,1,80.241558,11.119056,91.360614
0.6,2.5,0.5,1,80.380601,11.685384,92.065985
0.7,2.5,0.5,1,80.531425,12.214325,92.74575
0.8,2.5,0.5,1,80.690325,12.709327,93.399652
0.3,2,0.5,1,80.200076,9.03614,89.236216
0.4,2,0.5,1,80.269694,9.706894,89.976588
0.5,2,0.5,1,80.361593,10.325174,90.686767
0.6,2,0.5,1,80.476118,10.898555,91.374673
0.7,2,0.5,1,80.610085,11.434153,92.044238
0.8,2,0.5,1,80.752417,11.935512,92.687929
0.3,1.5,0.5,1,79.298196,8.241499,87.539695
0.4,1.5,0.5,1,79.355663,8.921958,88.277621
0.5,1.5,0.5,1,79.438587,9.549622,88.988209
0.6,1.5,0.5,1,79.544568,10.132887,89.677455
0.7,1.5,0.5,1,79.666663,10.675172,90.341835
0.8,1.5,0.5,1,79.803382,11.184046,90.987428
0.3,2.5,0.55,1,82.510041,9.667162,92.177203
0.4,2.5,0.55,1,82.563481,10.329991,92.893472
0.5,2.5,0.55,1,82.633354,10.941171,93.574525
0.6,2.5,0.55,1,82.728952,11.508388,94.23734
0.7,2.5,0.55,1,82.84776,12.038644,94.886404
0.8,2.5,0.55,1,82.977809,12.534375,95.512184
0.3,2,0.55,1,82.648513,8.86478,91.513293
0.4,2,0.55,1,82.672965,9.536336,92.209301
0.5,2,0.55,1,82.719912,10.155704,92.875616
0.6,2,0.55,1,82.795508,10.729994,93.525502
0.7,2,0.55,1,82.89169,11.266916,94.158606
0.8,2,0.55,1,83.007046,11.769499,94.776545
0.3,1.5,0.55,1,82.901027,7.99843,90.899457
0.4,1.5,0.55,1,82.881948,8.678053,91.560001
0.5,1.5,0.55,1,82.902291,9.304479,92.20677
0.6,1.5,0.55,1,82.946918,9.886702,92.83362
0.7,1.5,0.55,1,83.018874,10.430007,93.448881
0.8,1.5,0.55,1,83.111573,10.939122,94.050695
0.3,2.5,0.6,1,86.566642,9.389484,95.956126
0.4,2.5,0.6,1,86.539477,10.050733,96.59021
0.5,2.5,0.6,1,86.559297,10.66156,97.220857
0.6,2.5,0.6,1,86.597975,11.22853,97.826505
0.7,2.5,0.6,1,86.658792,11.758394,98.417186
0.8,2.5,0.6,1,86.740575,12.254604,98.995179
0.3,2,0.6,1,86.799501,8.590362,95.389863
0.4,2,0.6,1,86.73919,9.259924,95.999114
0.5,2,0.6,1,86.720866,9.878147,96.599013
0.6,2,0.6,1,86.74027,10.452081,97.192351
0.7,2,0.6,1,86.77952,10.987948,97.767468
0.8,2,0.6,1,86.838527,11.490308,98.328835
0.3,1.5,0.6,1,87.147369,7.731734,94.879103
0.4,1.5,0.6,1,87.046036,8.406975,95.453011
0.5,1.5,0.6,1,86.991394,9.031344,96.022738
0.6,1.5,0.6,1,86.977951,9.612298,96.590249
0.7,1.5,0.6,1,86.994736,10.154536,97.149272
0.8,1.5,0.6,1,87.029704,10.662331,97.692035
0.3,2.5,0.35,2,73.923621,15.880206,89.803827
0.4,2.5,0.35,2,74.389304,16.560828,90.950132
0.5,2.5,0.35,2,74.834444,17.187313,92.021757
0.6,2.5,0.35,2,75.255512,17.767851,93.023363
0.7,2.5,0.35,2,75.665993,18.308021,93.974014
0.8,2.5,0.35,2,76.060782,18.812708,94.87349
0.3,2,0.35,2,73.819857,15.02322,88.843077
0.4,2,0.35,2,74.272808,15.717379,89.990187
0.5,2,0.35,2,74.70811,16.355261,91.063371
0.6,2,0.35,2,75.121855,16.946273,92.068128
0.7,2,0.35,2,75.523303,17.49568,93.018983
0.8,2,0.35,2,75.911134,18.008737,93.919871
